payment_id,order_id,payment_method,payment_status,payment_date,amount,transaction_fee,payment_processor,currency,exchange_rate
2001,1001,credit_card,completed,2023-05-01,1094.91,2.75,stripe,USD,1.00
2002,1002,credit_card,completed,2023-05-01,392.90,2.25,stripe,USD,1.00
2003,1003,paypal,completed,2023-05-03,1378.91,3.50,paypal,USD,1.00
2004,1004,debit_card,completed,2023-05-05,336.99,2.00,square,USD,1.00
2005,1005,credit_card,completed,2023-05-07,105.11,1.75,stripe,USD,1.00
2006,1006,paypal,completed,2023-05-10,986.91,2.75,paypal,USD,1.00
2007,1007,credit_card,completed,2023-05-12,1320.91,3.25,stripe,USD,1.00
2008,1008,debit_card,completed,2023-05-15,207.39,2.00,square,USD,1.00
2009,1009,credit_card,completed,2023-05-18,287.91,2.25,stripe,USD,1.00
2010,1010,paypal,completed,2023-05-20,301.22,2.25,paypal,USD,1.00
2011,1011,credit_card,completed,2023-06-01,1094.91,2.75,stripe,USD,1.00
2012,1012,debit_card,completed,2023-06-03,174.99,1.75,square,USD,1.00
2013,1013,credit_card,completed,2023-06-05,192.22,2.00,stripe,USD,1.00
2014,1014,paypal,completed,2023-06-08,392.90,2.25,paypal,USD,1.00
2015,1015,credit_card,completed,2023-06-10,986.91,2.75,stripe,USD,1.00
2016,1016,credit_card,completed,2023-06-12,1112.91,3.00,stripe,USD,1.00
2017,1017,paypal,completed,2023-06-15,1104.91,3.25,paypal,USD,1.00
2018,1018,credit_card,completed,2023-06-18,3946.91,9.50,stripe,USD,1.00
2019,1019,debit_card,completed,2023-06-20,554.91,2.50,square,USD,1.00
2020,1020,credit_card,completed,2023-06-22,296.63,2.25,stripe,USD,1.00
2021,1021,paypal,completed,2023-06-25,267.95,2.00,paypal,USD,1.00
2022,1022,credit_card,completed,2023-06-28,223.91,2.00,stripe,USD,1.00
2023,1023,debit_card,completed,2023-07-01,446.91,2.50,square,USD,1.00
2024,1024,credit_card,completed,2023-07-03,399.62,2.25,stripe,USD,1.00
2025,1025,paypal,completed,2023-07-05,371.31,2.25,paypal,USD,1.00
2026,1026,credit_card,completed,2023-07-08,341.91,2.25,stripe,USD,1.00
2027,1027,debit_card,completed,2023-07-10,564.91,2.75,square,USD,1.00
2028,1028,credit_card,completed,2023-07-12,564.91,2.75,stripe,USD,1.00
2029,1029,paypal,completed,2023-07-15,550.82,2.75,paypal,USD,1.00
2030,1030,credit_card,completed,2023-07-18,169.91,1.75,stripe,USD,1.00
2031,1031,credit_card,completed,2023-07-20,1212.91,3.25,stripe,USD,1.00
2032,1032,paypal,completed,2023-07-22,446.91,2.50,paypal,USD,1.00
2033,1033,debit_card,completed,2023-07-25,371.31,2.25,square,USD,1.00
2034,1034,credit_card,completed,2023-07-28,158.31,1.75,stripe,USD,1.00
2035,1035,credit_card,completed,2023-08-01,171.62,1.75,stripe,USD,1.00
2036,1036,paypal,completed,2023-08-03,223.91,2.00,paypal,USD,1.00
2037,1037,debit_card,completed,2023-08-05,206.31,2.00,square,USD,1.00
2038,1038,credit_card,completed,2023-08-08,341.91,2.25,stripe,USD,1.00
2039,1039,credit_card,completed,2023-08-10,281.91,2.25,stripe,USD,1.00
2040,1040,paypal,completed,2023-08-12,330.82,2.25,paypal,USD,1.00
2041,1041,credit_card,completed,2023-08-15,1094.91,2.75,stripe,USD,1.00
2042,1042,debit_card,completed,2023-08-18,1428.91,3.50,square,USD,1.00
