product_id,product_name,category,subcategory,brand,price,cost,weight_kg,dimensions,description,created_date,supplier_id,stock_quantity,reorder_level
1,iPhone 14,Electronics,Smartphones,Apple,999.00,650.00,0.172,146.7x71.5x7.8mm,Latest iPhone model,2023-01-01,101,150,20
2,Samsung Galaxy S23,Electronics,Smartphones,Samsung,899.00,580.00,0.168,146.3x70.9x7.6mm,Android flagship phone,2023-01-01,102,120,15
3,MacBook Air M2,Electronics,Laptops,Apple,1299.00,850.00,1.24,304x215x11.3mm,Lightweight laptop,2023-01-01,101,80,10
4,Dell XPS 13,Electronics,Laptops,Dell,1199.00,780.00,1.27,296x199x14.8mm,Premium ultrabook,2023-01-01,103,75,8
5,Nike Air Max 270,Clothing,Shoes,Nike,150.00,75.00,0.8,Standard shoe box,Popular running shoe,2023-01-01,201,200,30
6,Adidas Ultraboost 22,Clothing,Shoes,Adidas,180.00,90.00,0.85,Standard shoe box,Performance running shoe,2023-01-01,202,180,25
7,Levi's 501 Jeans,Clothing,Pants,Levi's,89.00,35.00,0.6,Folded,Classic denim jeans,2023-01-01,203,300,50
8,North Face Jacket,Clothing,Outerwear,North Face,249.00,125.00,1.2,Compressed,Winter jacket,2023-01-01,204,100,15
9,Sony WH-1000XM4,Electronics,Headphones,Sony,349.00,180.00,0.254,Headphone box,Noise canceling headphones,2023-01-01,104,90,12
10,Kindle Paperwhite,Electronics,E-readers,Amazon,139.00,70.00,0.205,167x116x8.1mm,E-book reader,2023-01-01,105,160,20
11,iPad Pro 12.9,Electronics,Tablets,Apple,1099.00,720.00,0.682,280.6x214.9x6.4mm,Professional tablet,2023-01-01,101,60,8
12,Microsoft Surface Pro,Electronics,Tablets,Microsoft,999.00,650.00,0.770,292x201x8.5mm,2-in-1 laptop tablet,2023-01-01,106,45,6
13,Canon EOS R5,Electronics,Cameras,Canon,3899.00,2550.00,0.738,138.5x97.5x88mm,Professional mirrorless camera,2023-01-01,107,25,3
14,GoPro Hero 11,Electronics,Cameras,GoPro,499.00,325.00,0.153,71.8x50.8x33.6mm,Action camera,2023-01-01,108,80,10
15,Patagonia Fleece,Clothing,Outerwear,Patagonia,129.00,65.00,0.8,Folded,Outdoor fleece jacket,2023-01-01,205,120,20
16,Under Armour Hoodie,Clothing,Tops,Under Armour,79.00,40.00,0.6,Folded,Athletic hoodie,2023-01-01,206,150,25
17,Ray-Ban Aviators,Accessories,Sunglasses,Ray-Ban,199.00,100.00,0.1,Case included,Classic aviator sunglasses,2023-01-01,301,100,15
18,Apple Watch Series 8,Electronics,Wearables,Apple,399.00,260.00,0.038,45x38x10.7mm,Smart watch,2023-01-01,101,110,15
19,Fitbit Charge 5,Electronics,Wearables,Fitbit,179.00,90.00,0.029,36.78x22.79x11.2mm,Fitness tracker,2023-01-01,109,140,20
20,Bose QuietComfort,Electronics,Headphones,Bose,329.00,170.00,0.240,Headphone box,Noise canceling headphones,2023-01-01,110,70,10
21,Nintendo Switch,Electronics,Gaming,Nintendo,299.00,195.00,0.297,239x102x13.9mm,Gaming console,2023-01-01,111,85,12
22,PlayStation 5,Electronics,Gaming,Sony,499.00,325.00,4.5,390x104x260mm,Gaming console,2023-01-01,104,40,5
23,Xbox Series X,Electronics,Gaming,Microsoft,499.00,325.00,4.45,301x151x151mm,Gaming console,2023-01-01,106,35,5
24,AirPods Pro,Electronics,Headphones,Apple,249.00,162.00,0.056,Charging case,Wireless earbuds,2023-01-01,101,200,30
25,Samsung Galaxy Buds,Electronics,Headphones,Samsung,149.00,75.00,0.012,Charging case,Wireless earbuds,2023-01-01,102,180,25
